都道府県,性別,年齢区分,下限値,上限値,人数
福井県,男性,55～59歳,,,12305
福井県,男性,55～59歳,31.0,inf,2033
福井県,男性,55～59歳,51.0,inf,480
山梨県,男性,55～59歳,,,14325
山梨県,男性,55～59歳,31.0,inf,2342
山梨県,男性,55～59歳,51.0,inf,607
長野県,男性,55～59歳,,,35139
長野県,男性,55～59歳,31.0,inf,5542
長野県,男性,55～59歳,51.0,inf,1272
岐阜県,男性,55～59歳,,,32759
岐阜県,男性,55～59歳,31.0,inf,4976
岐阜県,男性,55～59歳,51.0,inf,1195
静岡県,男性,55～59歳,,,62900
静岡県,男性,55～59歳,31.0,inf,9673
静岡県,男性,55～59歳,51.0,inf,2283
愛知県,男性,55～59歳,,,131732
愛知県,男性,55～59歳,31.0,inf,19419
愛知県,男性,55～59歳,51.0,inf,4687
三重県,男性,55～59歳,,,30173
三重県,男性,55～59歳,31.0,inf,4799
三重県,男性,55～59歳,51.0,inf,1121
滋賀県,男性,55～59歳,,,22109
滋賀県,男性,55～59歳,31.0,inf,3526
滋賀県,男性,55～59歳,51.0,inf,826
京都府,男性,55～59歳,,,36115
京都府,男性,55～59歳,31.0,inf,5857
京都府,男性,55～59歳,51.0,inf,1469
大阪府,男性,55～59歳,,,122785
大阪府,男性,55～59歳,31.0,inf,20824
大阪府,男性,55～59歳,51.0,inf,5192
兵庫県,男性,55～59歳,,,81488
兵庫県,男性,55～59歳,31.0,inf,13711
兵庫県,男性,55～59歳,51.0,inf,3317
奈良県,男性,55～59歳,,,18805
奈良県,男性,55～59歳,31.0,inf,3027
奈良県,男性,55～59歳,51.0,inf,717
和歌山県,男性,55～59歳,,,12769
和歌山県,男性,55～59歳,31.0,inf,2146
和歌山県,男性,55～59歳,51.0,inf,563
鳥取県,男性,55～59歳,,,7758
鳥取県,男性,55～59歳,31.0,inf,1220
鳥取県,男性,55～59歳,51.0,inf,326
島根県,男性,55～59歳,,,9746
島根県,男性,55～59歳,31.0,inf,1797
島根県,男性,55～59歳,51.0,inf,438
岡山県,男性,55～59歳,,,26906
岡山県,男性,55～59歳,31.0,inf,4147
岡山県,男性,55～59歳,51.0,inf,1006
広島県,男性,55～59歳,,,41576
広島県,男性,55～59歳,31.0,inf,7029
広島県,男性,55～59歳,51.0,inf,1790
山口県,男性,55～59歳,,,17917
山口県,男性,55～59歳,31.0,inf,3173
山口県,男性,55～59歳,51.0,inf,807
徳島県,男性,55～59歳,,,9959
徳島県,男性,55～59歳,31.0,inf,1690
徳島県,男性,55～59歳,51.0,inf,393
香川県,男性,55～59歳,,,13854
香川県,男性,55～59歳,31.0,inf,2204
香川県,男性,55～59歳,51.0,inf,559
愛媛県,男性,55～59歳,,,19273
愛媛県,男性,55～59歳,31.0,inf,3390
愛媛県,男性,55～59歳,51.0,inf,817
高知県,男性,55～59歳,,,8953
高知県,男性,55～59歳,31.0,inf,1862
高知県,男性,55～59歳,51.0,inf,450
福岡県,男性,55～59歳,,,66118
福岡県,男性,55～59歳,31.0,inf,11349
福岡県,男性,55～59歳,51.0,inf,2797
佐賀県,男性,55～59歳,,,11304
佐賀県,男性,55～59歳,31.0,inf,1869
佐賀県,男性,55～59歳,51.0,inf,457
長崎県,男性,55～59歳,,,17799
長崎県,男性,55～59歳,31.0,inf,3019
長崎県,男性,55～59歳,51.0,inf,818
熊本県,男性,55～59歳,,,24647
熊本県,男性,55～59歳,31.0,inf,4068
熊本県,男性,55～59歳,51.0,inf,1071
大分県,男性,55～59歳,,,16277
大分県,男性,55～59歳,31.0,inf,2860
大分県,男性,55～59歳,51.0,inf,674
宮崎県,男性,55～59歳,,,14202
宮崎県,男性,55～59歳,31.0,inf,2522
宮崎県,男性,55～59歳,51.0,inf,675
鹿児島県,男性,55～59歳,,,21561
鹿児島県,男性,55～59歳,31.0,inf,3922
鹿児島県,男性,55～59歳,51.0,inf,933
沖縄県,男性,55～59歳,,,17268
沖縄県,男性,55～59歳,31.0,inf,3195
沖縄県,男性,55～59歳,51.0,inf,891
北海道,男性,60～64歳,,,60413
北海道,男性,60～64歳,31.0,inf,11431
北海道,男性,60～64歳,51.0,inf,2742
青森県,男性,60～64歳,,,17221
青森県,男性,60～64歳,31.0,inf,3667
青森県,男性,60～64歳,51.0,inf,911
岩手県,男性,60～64歳,,,17870
岩手県,男性,60～64歳,31.0,inf,3886
岩手県,男性,60～64歳,51.0,inf,1019
宮城県,男性,60～64歳,,,32448
宮城県,男性,60～64歳,31.0,inf,5937
宮城県,男性,60～64歳,51.0,inf,1522
秋田県,男性,60～64歳,,,14169
秋田県,男性,60～64歳,31.0,inf,3143
秋田県,男性,60～64歳,51.0,inf,726
山形県,男性,60～64歳,,,18244
山形県,男性,60～64歳,31.0,inf,3472
山形県,男性,60～64歳,51.0,inf,813
福島県,男性,60～64歳,,,27243
福島県,男性,60～64歳,31.0,inf,5011
福島県,男性,60～64歳,51.0,inf,1183
茨城県,男性,60～64歳,,,37085
茨城県,男性,60～64歳,31.0,inf,6708
茨城県,男性,60～64歳,51.0,inf,1506
栃木県,男性,60～64歳,,,26632
栃木県,男性,60～64歳,31.0,inf,4855
栃木県,男性,60～64歳,51.0,inf,1146
群馬県,男性,60～64歳,,,25979
群馬県,男性,60～64歳,31.0,inf,4347
群馬県,男性,60～64歳,51.0,inf,974
埼玉県,男性,60～64歳,,,89202
埼玉県,男性,60～64歳,31.0,inf,14695
埼玉県,男性,60～64歳,51.0,inf,3434
千葉県,男性,60～64歳,,,73535
