都道府県,性別,年齢区分,下限値,上限値,人数
佐賀県,男性,45～49歳,85.0,90.0,3233
佐賀県,男性,45～49歳,0.0,85.0,7524
長崎県,男性,45～49歳,90.0,inf,7824
長崎県,男性,45～49歳,85.0,90.0,4688
長崎県,男性,45～49歳,0.0,85.0,11585
熊本県,男性,45～49歳,90.0,inf,11716
熊本県,男性,45～49歳,85.0,90.0,6705
熊本県,男性,45～49歳,0.0,85.0,16288
大分県,男性,45～49歳,90.0,inf,7672
大分県,男性,45～49歳,85.0,90.0,4571
大分県,男性,45～49歳,0.0,85.0,12901
宮崎県,男性,45～49歳,90.0,inf,6710
宮崎県,男性,45～49歳,85.0,90.0,4163
宮崎県,男性,45～49歳,0.0,85.0,10393
鹿児島県,男性,45～49歳,90.0,inf,9540
鹿児島県,男性,45～49歳,85.0,90.0,5621
鹿児島県,男性,45～49歳,0.0,85.0,13697
沖縄県,男性,45～49歳,90.0,inf,11156
沖縄県,男性,45～49歳,85.0,90.0,5739
沖縄県,男性,45～49歳,0.0,85.0,11694
北海道,男性,50～54歳,90.0,inf,32469
北海道,男性,50～54歳,85.0,90.0,18344
北海道,男性,50～54歳,0.0,85.0,43551
青森県,男性,50～54歳,90.0,inf,8130
青森県,男性,50～54歳,85.0,90.0,4847
青森県,男性,50～54歳,0.0,85.0,11688
岩手県,男性,50～54歳,90.0,inf,8353
岩手県,男性,50～54歳,85.0,90.0,5022
岩手県,男性,50～54歳,0.0,85.0,12400
宮城県,男性,50～54歳,90.0,inf,17432
宮城県,男性,50～54歳,85.0,90.0,10175
宮城県,男性,50～54歳,0.0,85.0,23471
秋田県,男性,50～54歳,90.0,inf,6420
秋田県,男性,50～54歳,85.0,90.0,3611
秋田県,男性,50～54歳,0.0,85.0,8198
山形県,男性,50～54歳,90.0,inf,7204
山形県,男性,50～54歳,85.0,90.0,4529
山形県,男性,50～54歳,0.0,85.0,11971
福島県,男性,50～54歳,90.0,inf,12478
福島県,男性,50～54歳,85.0,90.0,7080
福島県,男性,50～54歳,0.0,85.0,17554
茨城県,男性,50～54歳,90.0,inf,21833
茨城県,男性,50～54歳,85.0,90.0,12863
茨城県,男性,50～54歳,0.0,85.0,30221
栃木県,男性,50～54歳,90.0,inf,14990
栃木県,男性,50～54歳,85.0,90.0,8918
栃木県,男性,50～54歳,0.0,85.0,21024
群馬県,男性,50～54歳,90.0,inf,14244
群馬県,男性,50～54歳,85.0,90.0,8572
群馬県,男性,50～54歳,0.0,85.0,21281
埼玉県,男性,50～54歳,90.0,inf,57736
埼玉県,男性,50～54歳,85.0,90.0,34537
埼玉県,男性,50～54歳,0.0,85.0,82785
千葉県,男性,50～54歳,90.0,inf,49804
千葉県,男性,50～54歳,85.0,90.0,29060
千葉県,男性,50～54歳,0.0,85.0,67432
東京都,男性,50～54歳,90.0,inf,112845
東京都,男性,50～54歳,85.0,90.0,70392
東京都,男性,50～54歳,0.0,85.0,173251
神奈川県,男性,50～54歳,90.0,inf,76433
神奈川県,男性,50～54歳,85.0,90.0,46986
神奈川県,男性,50～54歳,0.0,85.0,114907
新潟県,男性,50～54歳,90.0,inf,14491
新潟県,男性,50～54歳,85.0,90.0,9192
新潟県,男性,50～54歳,0.0,85.0,28064
富山県,男性,50～54歳,90.0,inf,8612
富山県,男性,50～54歳,85.0,90.0,5133
富山県,男性,50～54歳,0.0,85.0,12821
石川県,男性,50～54歳,90.0,inf,8393
石川県,男性,50～54歳,85.0,90.0,5254
石川県,男性,50～54歳,0.0,85.0,12717
福井県,男性,50～54歳,90.0,inf,5731
福井県,男性,50～54歳,85.0,90.0,3370
福井県,男性,50～54歳,0.0,85.0,7993
山梨県,男性,50～54歳,90.0,inf,5864
山梨県,男性,50～54歳,85.0,90.0,3821
山梨県,男性,50～54歳,0.0,85.0,9656
長野県,男性,50～54歳,90.0,inf,14227
長野県,男性,50～54歳,85.0,90.0,9303
長野県,男性,50～54歳,0.0,85.0,25651
岐阜県,男性,50～54歳,90.0,inf,13258
岐阜県,男性,50～54歳,85.0,90.0,8678
岐阜県,男性,50～54歳,0.0,85.0,24633
静岡県,男性,50～54歳,90.0,inf,27289
静岡県,男性,50～54歳,85.0,90.0,16933
静岡県,男性,50～54歳,0.0,85.0,45352
愛知県,男性,50～54歳,90.0,inf,60434
愛知県,男性,50～54歳,85.0,90.0,37661
愛知県,男性,50～54歳,0.0,85.0,98509
三重県,男性,50～54歳,90.0,inf,13216
三重県,男性,50～54歳,85.0,90.0,8175
三重県,男性,50～54歳,0.0,85.0,21314
滋賀県,男性,50～54歳,90.0,inf,9826
滋賀県,男性,50～54歳,85.0,90.0,6248
滋賀県,男性,50～54歳,0.0,85.0,15882
京都府,男性,50～54歳,90.0,inf,16079
京都府,男性,50～54歳,85.0,90.0,10413
京都府,男性,50～54歳,0.0,85.0,26956
大阪府,男性,50～54歳,90.0,inf,63186
大阪府,男性,50～54歳,85.0,90.0,38651
大阪府,男性,50～54歳,0.0,85.0,89501
兵庫県,男性,50～54歳,90.0,inf,38065
兵庫県,男性,50～54歳,85.0,90.0,24196
兵庫県,男性,50～54歳,0.0,85.0,58186
奈良県,男性,50～54歳,90.0,inf,8883
奈良県,男性,50～54歳,85.0,90.0,5237
奈良県,男性,50～54歳,0.0,85.0,12629
和歌山県,男性,50～54歳,90.0,inf,6046
和歌山県,男性,50～54歳,85.0,90.0,3685
和歌山県,男性,50～54歳,0.0,85.0,8031
鳥取県,男性,50～54歳,90.0,inf,3061
鳥取県,男性,50～54歳,85.0,90.0,2021
鳥取県,男性,50～54歳,0.0,85.0,5162
島根県,男性,50～54歳,90.0,inf,3923
島根県,男性,50～54歳,85.0,90.0,2633
島根県,男性,50～54歳,0.0,85.0,6844
岡山県,男性,50～54歳,90.0,inf,12580
岡山県,男性,50～54歳,85.0,90.0,7637
岡山県,男性,50～54歳,0.0,85.0,19077
広島県,男性,50～54歳,90.0,inf,19517
広島県,男性,50～54歳,85.0,90.0,12493
広島県,男性,50～54歳,0.0,85.0,30298
山口県,男性,50～54歳,90.0,inf,8039
山口県,男性,50～54歳,85.0,90.0,5088
山口県,男性,50～54歳,0.0,85.0,13250
徳島県,男性,50～54歳,90.0,inf,4540
徳島県,男性,50～54歳,85.0,90.0,2694
徳島県,男性,50～54歳,0.0,85.0,6384
香川県,男性,50～54歳,90.0,inf,6436
香川県,男性,50～54歳,85.0,90.0,3933
香川県,男性,50～54歳,0.0,85.0,9706
愛媛県,男性,50～54歳,90.0,inf,8593
愛媛県,男性,50～54歳,85.0,90.0,5165
愛媛県,男性,50～54歳,0.0,85.0,13207
高知県,男性,50～54歳,90.0,inf,4214
高知県,男性,50～54歳,85.0,90.0,2595
