都道府県,性別,年齢区分,下限値,上限値,人数
長崎県,男性,40～44歳,6.5,8.0,248
長崎県,男性,40～44歳,6.0,6.5,387
長崎県,男性,40～44歳,5.6,6.0,2365
長崎県,男性,40～44歳,0.0,5.6,8417
熊本県,男性,40～44歳,8.4,inf,147
熊本県,男性,40～44歳,8.0,8.4,37
熊本県,男性,40～44歳,6.5,8.0,407
熊本県,男性,40～44歳,6.0,6.5,825
熊本県,男性,40～44歳,5.6,6.0,4925
熊本県,男性,40～44歳,0.0,5.6,8978
大分県,男性,40～44歳,8.4,inf,104
大分県,男性,40～44歳,8.0,8.4,32
大分県,男性,40～44歳,6.5,8.0,306
大分県,男性,40～44歳,6.0,6.5,530
大分県,男性,40～44歳,5.6,6.0,2972
大分県,男性,40～44歳,0.0,5.6,8412
宮崎県,男性,40～44歳,8.4,inf,88
宮崎県,男性,40～44歳,8.0,8.4,18
宮崎県,男性,40～44歳,6.5,8.0,222
宮崎県,男性,40～44歳,6.0,6.5,473
宮崎県,男性,40～44歳,5.6,6.0,2380
宮崎県,男性,40～44歳,0.0,5.6,6454
鹿児島県,男性,40～44歳,8.4,inf,208
鹿児島県,男性,40～44歳,8.0,8.4,51
鹿児島県,男性,40～44歳,6.5,8.0,457
鹿児島県,男性,40～44歳,6.0,6.5,771
鹿児島県,男性,40～44歳,5.6,6.0,4073
鹿児島県,男性,40～44歳,0.0,5.6,11692
沖縄県,男性,40～44歳,8.4,inf,165
沖縄県,男性,40～44歳,8.0,8.4,42
沖縄県,男性,40～44歳,6.5,8.0,362
沖縄県,男性,40～44歳,6.0,6.5,615
沖縄県,男性,40～44歳,5.6,6.0,3428
沖縄県,男性,40～44歳,0.0,5.6,9368
北海道,男性,45～49歳,8.4,inf,999
北海道,男性,45～49歳,8.0,8.4,299
北海道,男性,45～49歳,6.5,8.0,3195
北海道,男性,45～49歳,6.0,6.5,4490
北海道,男性,45～49歳,5.6,6.0,18265
北海道,男性,45～49歳,0.0,5.6,45626
青森県,男性,45～49歳,8.4,inf,162
青森県,男性,45～49歳,8.0,8.4,54
青森県,男性,45～49歳,6.5,8.0,626
青森県,男性,45～49歳,6.0,6.5,809
青森県,男性,45～49歳,5.6,6.0,2907
青森県,男性,45～49歳,0.0,5.6,7503
岩手県,男性,45～49歳,8.4,inf,212
岩手県,男性,45～49歳,8.0,8.4,73
岩手県,男性,45～49歳,6.5,8.0,732
岩手県,男性,45～49歳,6.0,6.5,1025
岩手県,男性,45～49歳,5.6,6.0,4193
岩手県,男性,45～49歳,0.0,5.6,10890
宮城県,男性,45～49歳,8.4,inf,462
宮城県,男性,45～49歳,8.0,8.4,157
宮城県,男性,45～49歳,6.5,8.0,1699
宮城県,男性,45～49歳,6.0,6.5,3230
宮城県,男性,45～49歳,5.6,6.0,12209
宮城県,男性,45～49歳,0.0,5.6,18463
秋田県,男性,45～49歳,8.4,inf,174
秋田県,男性,45～49歳,8.0,8.4,37
秋田県,男性,45～49歳,6.5,8.0,510
秋田県,男性,45～49歳,6.0,6.5,704
秋田県,男性,45～49歳,5.6,6.0,2685
秋田県,男性,45～49歳,0.0,5.6,7046
山形県,男性,45～49歳,8.4,inf,179
山形県,男性,45～49歳,8.0,8.4,67
山形県,男性,45～49歳,6.5,8.0,598
山形県,男性,45～49歳,6.0,6.5,935
山形県,男性,45～49歳,5.6,6.0,4086
山形県,男性,45～49歳,0.0,5.6,8843
福島県,男性,45～49歳,8.4,inf,339
福島県,男性,45～49歳,8.0,8.4,110
福島県,男性,45～49歳,6.5,8.0,1035
福島県,男性,45～49歳,6.0,6.5,1606
福島県,男性,45～49歳,5.6,6.0,6480
福島県,男性,45～49歳,0.0,5.6,14138
茨城県,男性,45～49歳,8.4,inf,852
