都道府県,性別,年齢区分,検査値範囲,人数
千葉県,女性,70～74歳,＋＋,646
千葉県,女性,70～74歳,＋＋＋,152
東京都,女性,70～74歳,－,180416
東京都,女性,70～74歳,±,18304
東京都,女性,70～74歳,＋,6765
東京都,女性,70～74歳,＋＋,1570
東京都,女性,70～74歳,＋＋＋,373
神奈川県,女性,70～74歳,－,98082
神奈川県,女性,70～74歳,±,8925
神奈川県,女性,70～74歳,＋,3261
神奈川県,女性,70～74歳,＋＋,709
神奈川県,女性,70～74歳,＋＋＋,187
新潟県,女性,70～74歳,－,39599
新潟県,女性,70～74歳,±,3202
新潟県,女性,70～74歳,＋,855
新潟県,女性,70～74歳,＋＋,230
新潟県,女性,70～74歳,＋＋＋,41
富山県,女性,70～74歳,－,18982
富山県,女性,70～74歳,±,1893
富山県,女性,70～74歳,＋,715
富山県,女性,70～74歳,＋＋,152
富山県,女性,70～74歳,＋＋＋,31
石川県,女性,70～74歳,－,19739
石川県,女性,70～74歳,±,1890
石川県,女性,70～74歳,＋,675
石川県,女性,70～74歳,＋＋,184
石川県,女性,70～74歳,＋＋＋,40
福井県,女性,70～74歳,－,10282
福井県,女性,70～74歳,±,659
福井県,女性,70～74歳,＋,288
福井県,女性,70～74歳,＋＋,73
福井県,女性,70～74歳,＋＋＋,24
山梨県,女性,70～74歳,－,14627
山梨県,女性,70～74歳,±,677
山梨県,女性,70～74歳,＋,207
山梨県,女性,70～74歳,＋＋,57
山梨県,女性,70～74歳,＋＋＋,13
長野県,女性,70～74歳,－,37913
長野県,女性,70～74歳,±,2382
長野県,女性,70～74歳,＋,744
長野県,女性,70～74歳,＋＋,179
長野県,女性,70～74歳,＋＋＋,43
岐阜県,女性,70～74歳,－,31626
岐阜県,女性,70～74歳,±,3454
岐阜県,女性,70～74歳,＋,1437
岐阜県,女性,70～74歳,＋＋,280
岐阜県,女性,70～74歳,＋＋＋,97
静岡県,女性,70～74歳,－,52852
静岡県,女性,70～74歳,±,3556
静岡県,女性,70～74歳,＋,1381
静岡県,女性,70～74歳,＋＋,354
静岡県,女性,70～74歳,＋＋＋,93
愛知県,女性,70～74歳,－,96785
愛知県,女性,70～74歳,±,10980
愛知県,女性,70～74歳,＋,4386
愛知県,女性,70～74歳,＋＋,1014
愛知県,女性,70～74歳,＋＋＋,271
三重県,女性,70～74歳,－,30393
三重県,女性,70～74歳,±,3857
三重県,女性,70～74歳,＋,1351
三重県,女性,70～74歳,＋＋,323
三重県,女性,70～74歳,＋＋＋,93
滋賀県,女性,70～74歳,－,20398
滋賀県,女性,70～74歳,±,1855
滋賀県,女性,70～74歳,＋,699
滋賀県,女性,70～74歳,＋＋,149
滋賀県,女性,70～74歳,＋＋＋,42
京都府,女性,70～74歳,－,32124
京都府,女性,70～74歳,±,3277
京都府,女性,70～74歳,＋,1209
京都府,女性,70～74歳,＋＋,247
京都府,女性,70～74歳,＋＋＋,59
大阪府,女性,70～74歳,－,93541
大阪府,女性,70～74歳,±,11361
大阪府,女性,70～74歳,＋,4179
大阪府,女性,70～74歳,＋＋,990
大阪府,女性,70～74歳,＋＋＋,275
兵庫県,女性,70～74歳,－,71726
兵庫県,女性,70～74歳,±,6087
兵庫県,女性,70～74歳,＋,2155
兵庫県,女性,70～74歳,＋＋,528
兵庫県,女性,70～74歳,＋＋＋,123
奈良県,女性,70～74歳,－,19898
奈良県,女性,70～74歳,±,2129
奈良県,女性,70～74歳,＋,697
奈良県,女性,70～74歳,＋＋,177
奈良県,女性,70～74歳,＋＋＋,45
和歌山県,女性,70～74歳,－,13894
和歌山県,女性,70～74歳,±,1656
和歌山県,女性,70～74歳,＋,611
和歌山県,女性,70～74歳,＋＋,152
和歌山県,女性,70～74歳,＋＋＋,36
鳥取県,女性,70～74歳,－,7558
鳥取県,女性,70～74歳,±,521
鳥取県,女性,70～74歳,＋,198
鳥取県,女性,70～74歳,＋＋,58
鳥取県,女性,70～74歳,＋＋＋,-
島根県,女性,70～74歳,－,13141
島根県,女性,70～74歳,±,1032
島根県,女性,70～74歳,＋,435
島根県,女性,70～74歳,＋＋,103
島根県,女性,70～74歳,＋＋＋,30
岡山県,女性,70～74歳,－,24141
岡山県,女性,70～74歳,±,1973
岡山県,女性,70～74歳,＋,650
岡山県,女性,70～74歳,＋＋,146
岡山県,女性,70～74歳,＋＋＋,41
広島県,女性,70～74歳,－,31529
広島県,女性,70～74歳,±,2526
広島県,女性,70～74歳,＋,821
広島県,女性,70～74歳,＋＋,203
広島県,女性,70～74歳,＋＋＋,55
山口県,女性,70～74歳,－,20189
山口県,女性,70～74歳,±,1385
山口県,女性,70～74歳,＋,618
山口県,女性,70～74歳,＋＋,179
山口県,女性,70～74歳,＋＋＋,32
徳島県,女性,70～74歳,－,11989
徳島県,女性,70～74歳,±,1435
徳島県,女性,70～74歳,＋,493
徳島県,女性,70～74歳,＋＋,143
徳島県,女性,70～74歳,＋＋＋,35
香川県,女性,70～74歳,－,17828
香川県,女性,70～74歳,±,1488
香川県,女性,70～74歳,＋,562
香川県,女性,70～74歳,＋＋,131
香川県,女性,70～74歳,＋＋＋,25
愛媛県,女性,70～74歳,－,17963
愛媛県,女性,70～74歳,±,1155
愛媛県,女性,70～74歳,＋,498
愛媛県,女性,70～74歳,＋＋,95
愛媛県,女性,70～74歳,＋＋＋,28
高知県,女性,70～74歳,－,11399
高知県,女性,70～74歳,±,883
高知県,女性,70～74歳,＋,256
高知県,女性,70～74歳,＋＋,85
高知県,女性,70～74歳,＋＋＋,20
福岡県,女性,70～74歳,－,62843
福岡県,女性,70～74歳,±,5114
福岡県,女性,70～74歳,＋,2014
福岡県,女性,70～74歳,＋＋,467
福岡県,女性,70～74歳,＋＋＋,140
佐賀県,女性,70～74歳,－,12468
佐賀県,女性,70～74歳,±,1127
佐賀県,女性,70～74歳,＋,329
佐賀県,女性,70～74歳,＋＋,82
佐賀県,女性,70～74歳,＋＋＋,22
長崎県,女性,70～74歳,－,20738
長崎県,女性,70～74歳,±,2344
長崎県,女性,70～74歳,＋,883
長崎県,女性,70～74歳,＋＋,247
長崎県,女性,70～74歳,＋＋＋,66
熊本県,女性,70～74歳,－,25949
熊本県,女性,70～74歳,±,1374
熊本県,女性,70～74歳,＋,576
熊本県,女性,70～74歳,＋＋,138
熊本県,女性,70～74歳,＋＋＋,35
大分県,女性,70～74歳,－,18809
大分県,女性,70～74歳,±,1550
大分県,女性,70～74歳,＋,442
大分県,女性,70～74歳,＋＋,124
大分県,女性,70～74歳,＋＋＋,23
宮崎県,女性,70～74歳,－,17702
宮崎県,女性,70～74歳,±,1381
宮崎県,女性,70～74歳,＋,518
宮崎県,女性,70～74歳,＋＋,163
宮崎県,女性,70～74歳,＋＋＋,36
鹿児島県,女性,70～74歳,－,27768
鹿児島県,女性,70～74歳,±,2399
鹿児島県,女性,70～74歳,＋,881
鹿児島県,女性,70～74歳,＋＋,265
鹿児島県,女性,70～74歳,＋＋＋,73
沖縄県,女性,70～74歳,－,14655
沖縄県,女性,70～74歳,±,1157
沖縄県,女性,70～74歳,＋,484
沖縄県,女性,70～74歳,＋＋,169
沖縄県,女性,70～74歳,＋＋＋,51
