都道府県,性別,年齢区分,下限値,上限値,人数
愛媛県,男性,45～49歳,0.0,150.0,21510
高知県,男性,45～49歳,300.0,inf,948
高知県,男性,45～49歳,150.0,300.0,3335
高知県,男性,45～49歳,0.0,150.0,10530
福岡県,男性,45～49歳,300.0,inf,6420
福岡県,男性,45～49歳,150.0,300.0,25259
福岡県,男性,45～49歳,0.0,150.0,77062
佐賀県,男性,45～49歳,300.0,inf,876
佐賀県,男性,45～49歳,150.0,300.0,3660
佐賀県,男性,45～49歳,0.0,150.0,11424
長崎県,男性,45～49歳,300.0,inf,1386
長崎県,男性,45～49歳,150.0,300.0,5474
長崎県,男性,45～49歳,0.0,150.0,17228
熊本県,男性,45～49歳,300.0,inf,2195
熊本県,男性,45～49歳,150.0,300.0,8310
熊本県,男性,45～49歳,0.0,150.0,24187
大分県,男性,45～49歳,300.0,inf,1385
大分県,男性,45～49歳,150.0,300.0,5620
大分県,男性,45～49歳,0.0,150.0,18142
宮崎県,男性,45～49歳,300.0,inf,1416
宮崎県,男性,45～49歳,150.0,300.0,4676
宮崎県,男性,45～49歳,0.0,150.0,15161
鹿児島県,男性,45～49歳,300.0,inf,1929
鹿児島県,男性,45～49歳,150.0,300.0,6607
鹿児島県,男性,45～49歳,0.0,150.0,20303
沖縄県,男性,45～49歳,300.0,inf,2225
沖縄県,男性,45～49歳,150.0,300.0,7599
沖縄県,男性,45～49歳,0.0,150.0,18749
北海道,男性,50～54歳,300.0,inf,5213
北海道,男性,50～54歳,150.0,300.0,22533
北海道,男性,50～54歳,0.0,150.0,66340
青森県,男性,50～54歳,300.0,inf,1502
青森県,男性,50～54歳,150.0,300.0,6081
青森県,男性,50～54歳,0.0,150.0,17054
岩手県,男性,50～54歳,300.0,inf,1793
岩手県,男性,50～54歳,150.0,300.0,6747
岩手県,男性,50～54歳,0.0,150.0,17219
宮城県,男性,50～54歳,300.0,inf,2820
宮城県,男性,50～54歳,150.0,300.0,12594
宮城県,男性,50～54歳,0.0,150.0,35612
秋田県,男性,50～54歳,300.0,inf,1427
秋田県,男性,50～54歳,150.0,300.0,4668
秋田県,男性,50～54歳,0.0,150.0,12126
山形県,男性,50～54歳,300.0,inf,1390
山形県,男性,50～54歳,150.0,300.0,5792
山形県,男性,50～54歳,0.0,150.0,16525
福島県,男性,50～54歳,300.0,inf,2145
福島県,男性,50～54歳,150.0,300.0,8817
福島県,男性,50～54歳,0.0,150.0,26118
茨城県,男性,50～54歳,300.0,inf,3584
茨城県,男性,50～54歳,150.0,300.0,15486
茨城県,男性,50～54歳,0.0,150.0,45830
栃木県,男性,50～54歳,300.0,inf,2337
栃木県,男性,50～54歳,150.0,300.0,10483
栃木県,男性,50～54歳,0.0,150.0,32067
群馬県,男性,50～54歳,300.0,inf,2320
群馬県,男性,50～54歳,150.0,300.0,10195
群馬県,男性,50～54歳,0.0,150.0,31505
埼玉県,男性,50～54歳,300.0,inf,8716
埼玉県,男性,50～54歳,150.0,300.0,39250
埼玉県,男性,50～54歳,0.0,150.0,126881
千葉県,男性,50～54歳,300.0,inf,7567
千葉県,男性,50～54歳,150.0,300.0,33562
千葉県,男性,50～54歳,0.0,150.0,104772
