都道府県,性別,年齢区分,下限値,上限値,人数
岩手県,男性,45～49歳,80.0,85.0,5026
岩手県,男性,45～49歳,0.0,80.0,13558
宮城県,男性,45～49歳,110.0,inf,845
宮城県,男性,45～49歳,100.0,110.0,2700
宮城県,男性,45～49歳,90.0,100.0,8327
宮城県,男性,45～49歳,85.0,90.0,7941
宮城県,男性,45～49歳,80.0,85.0,9921
宮城県,男性,45～49歳,0.0,80.0,26226
秋田県,男性,45～49歳,110.0,inf,276
秋田県,男性,45～49歳,100.0,110.0,943
秋田県,男性,45～49歳,90.0,100.0,3099
秋田県,男性,45～49歳,85.0,90.0,2903
秋田県,男性,45～49歳,80.0,85.0,3528
秋田県,男性,45～49歳,0.0,80.0,8976
山形県,男性,45～49歳,110.0,inf,429
山形県,男性,45～49歳,100.0,110.0,1322
山形県,男性,45～49歳,90.0,100.0,3975
山形県,男性,45～49歳,85.0,90.0,3507
山形県,男性,45～49歳,80.0,85.0,4863
山形県,男性,45～49歳,0.0,80.0,11649
福島県,男性,45～49歳,110.0,inf,596
福島県,男性,45～49歳,100.0,110.0,1721
福島県,男性,45～49歳,90.0,100.0,5721
福島県,男性,45～49歳,85.0,90.0,5308
福島県,男性,45～49歳,80.0,85.0,7385
福島県,男性,45～49歳,0.0,80.0,19777
茨城県,男性,45～49歳,110.0,inf,947
茨城県,男性,45～49歳,100.0,110.0,3024
茨城県,男性,45～49歳,90.0,100.0,9349
茨城県,男性,45～49歳,85.0,90.0,8935
茨城県,男性,45～49歳,80.0,85.0,12115
茨城県,男性,45～49歳,0.0,80.0,34304
栃木県,男性,45～49歳,110.0,inf,693
栃木県,男性,45～49歳,100.0,110.0,2248
栃木県,男性,45～49歳,90.0,100.0,6767
栃木県,男性,45～49歳,85.0,90.0,6305
栃木県,男性,45～49歳,80.0,85.0,8651
栃木県,男性,45～49歳,0.0,80.0,24238
群馬県,男性,45～49歳,110.0,inf,741
群馬県,男性,45～49歳,100.0,110.0,2245
群馬県,男性,45～49歳,90.0,100.0,6965
群馬県,男性,45～49歳,85.0,90.0,5905
群馬県,男性,45～49歳,80.0,85.0,8319
群馬県,男性,45～49歳,0.0,80.0,21825
