都道府県,性別,年齢区分,下限値,上限値,人数
長野県,男性,50～54歳,0.0,35.0,913
長野県,男性,50～54歳,35.0,40.0,2597
長野県,男性,50～54歳,40.0,inf,45526
岐阜県,男性,50～54歳,0.0,35.0,823
岐阜県,男性,50～54歳,35.0,40.0,2344
岐阜県,男性,50～54歳,40.0,inf,43387
静岡県,男性,50～54歳,0.0,35.0,1510
静岡県,男性,50～54歳,35.0,40.0,4271
静岡県,男性,50～54歳,40.0,inf,83520
愛知県,男性,50～54歳,0.0,35.0,3430
愛知県,男性,50～54歳,35.0,40.0,9483
愛知県,男性,50～54歳,40.0,inf,183560
三重県,男性,50～54歳,0.0,35.0,815
三重県,男性,50～54歳,35.0,40.0,2228
三重県,男性,50～54歳,40.0,inf,39654
滋賀県,男性,50～54歳,0.0,35.0,572
滋賀県,男性,50～54歳,35.0,40.0,1578
滋賀県,男性,50～54歳,40.0,inf,29811
京都府,男性,50～54歳,0.0,35.0,863
京都府,男性,50～54歳,35.0,40.0,2404
京都府,男性,50～54歳,40.0,inf,50168
大阪府,男性,50～54歳,0.0,35.0,3276
大阪府,男性,50～54歳,35.0,40.0,9034
大阪府,男性,50～54歳,40.0,inf,178956
兵庫県,男性,50～54歳,0.0,35.0,1930
兵庫県,男性,50～54歳,35.0,40.0,5472
兵庫県,男性,50～54歳,40.0,inf,113075
奈良県,男性,50～54歳,0.0,35.0,465
奈良県,男性,50～54歳,35.0,40.0,1272
奈良県,男性,50～54歳,40.0,inf,25009
和歌山県,男性,50～54歳,0.0,35.0,320
和歌山県,男性,50～54歳,35.0,40.0,878
和歌山県,男性,50～54歳,40.0,inf,16559
鳥取県,男性,50～54歳,0.0,35.0,159
鳥取県,男性,50～54歳,35.0,40.0,468
鳥取県,男性,50～54歳,40.0,inf,9584
島根県,男性,50～54歳,0.0,35.0,194
島根県,男性,50～54歳,35.0,40.0,567
島根県,男性,50～54歳,40.0,inf,12640
岡山県,男性,50～54歳,0.0,35.0,779
岡山県,男性,50～54歳,35.0,40.0,2070
岡山県,男性,50～54歳,40.0,inf,36443
広島県,男性,50～54歳,0.0,35.0,1086
広島県,男性,50～54歳,35.0,40.0,2909
広島県,男性,50～54歳,40.0,inf,58307
山口県,男性,50～54歳,0.0,35.0,390
山口県,男性,50～54歳,35.0,40.0,1121
山口県,男性,50～54歳,40.0,inf,24880
徳島県,男性,50～54歳,0.0,35.0,249
徳島県,男性,50～54歳,35.0,40.0,693
徳島県,男性,50～54歳,40.0,inf,12675
香川県,男性,50～54歳,0.0,35.0,357
香川県,男性,50～54歳,35.0,40.0,1141
香川県,男性,50～54歳,40.0,inf,18573
愛媛県,男性,50～54歳,0.0,35.0,571
愛媛県,男性,50～54歳,35.0,40.0,1415
愛媛県,男性,50～54歳,40.0,inf,24976
高知県,男性,50～54歳,0.0,35.0,239
高知県,男性,50～54歳,35.0,40.0,709
高知県,男性,50～54歳,40.0,inf,12043
福岡県,男性,50～54歳,0.0,35.0,1481
福岡県,男性,50～54歳,35.0,40.0,4387
福岡県,男性,50～54歳,40.0,inf,91757
佐賀県,男性,50～54歳,0.0,35.0,247
佐賀県,男性,50～54歳,35.0,40.0,694
佐賀県,男性,50～54歳,40.0,inf,13434
長崎県,男性,50～54歳,0.0,35.0,369
長崎県,男性,50～54歳,35.0,40.0,1067
長崎県,男性,50～54歳,40.0,inf,21720
熊本県,男性,50～54歳,0.0,35.0,638
熊本県,男性,50～54歳,35.0,40.0,1752
熊本県,男性,50～54歳,40.0,inf,28735
大分県,男性,50～54歳,0.0,35.0,401
大分県,男性,50～54歳,35.0,40.0,1156
大分県,男性,50～54歳,40.0,inf,20619
宮崎県,男性,50～54歳,0.0,35.0,400
宮崎県,男性,50～54歳,35.0,40.0,1088
宮崎県,男性,50～54歳,40.0,inf,17352
鹿児島県,男性,50～54歳,0.0,35.0,548
鹿児島県,男性,50～54歳,35.0,40.0,1564
鹿児島県,男性,50～54歳,40.0,inf,24642
沖縄県,男性,50～54歳,0.0,35.0,640
沖縄県,男性,50～54歳,35.0,40.0,1458
沖縄県,男性,50～54歳,40.0,inf,23215
北海道,男性,55～59歳,0.0,35.0,1524
北海道,男性,55～59歳,35.0,40.0,3997
北海道,男性,55～59歳,40.0,inf,78395
青森県,男性,55～59歳,0.0,35.0,267
青森県,男性,55～59歳,35.0,40.0,849
青森県,男性,55～59歳,40.0,inf,22039
岩手県,男性,55～59歳,0.0,35.0,349
岩手県,男性,55～59歳,35.0,40.0,969
岩手県,男性,55～59歳,40.0,inf,22820
